id,Name,Breed Group,BredFor,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
41,CatahoulaLeopardDog,Herding,Drivinglivestock,10,12,20,26,50,95,"Energetic,Inquisitive,Independent,Gentle,Intelligent,Loving",https://cdn2.thedogapi.com/images/BJcNbec4X_1280.jpg
42,CaucasianShepherd(Ovcharka),Working,"Guarddogs,defendingsheepfrompredators,mainlywolves,jackalsandbears",10,12,24,34,80,100,"Alert,Quick,Dominant,Powerful,Calm,Strong",https://cdn2.thedogapi.com/images/r1rrWe5Em_1280.jpg
43,CavalierKingCharlesSpaniel,Toy,"Flushingsmallbirds,companion",10,14,12,13,13,18,"Fearless,Affectionate,Sociable,Patient,Playful,Adaptable",https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg
44,ChineseCrested,Toy,"Ratting,lapdog,curio",10,14,11,13,10,13,"Affectionate,Sweet-Tempered,Lively,Alert,Playful,Happy",https://cdn2.thedogapi.com/images/B1pDZx9Nm_1280.jpg
45,Chinook,Working,Sledpulling,12,15,22,26,50,90,"Friendly,Alert,Dignified,Intelligent,Calm",https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg
46,ChowChow,Non-Sporting,"Guardian,cartpulling,hunting",12,15,17,20,40,70,"Aloof,Loyal,Independent,Quiet",https://cdn2.thedogapi.com/images/ry8KWgqEQ_1280.jpg
47,ClumberSpaniel,Sporting,"Birdflushing,retrieving",10,12,17,20,55,85,"Affectionate,Loyal,Dignified,Gentle,Calm,Great-hearted",https://cdn2.thedogapi.com/images/rkeqWgq4Q_1280.jpg
48,CockerSpaniel(American),Sporting,HuntingtheAmericanwoodcock,12,15,14,15,20,30,"Outgoing,Sociable,Trusting,Joyful,EvenTempered,Merry",https://cdn2.thedogapi.com/images/HkRcZe547_1280.jpg
49,CotondeTulear,Non-Sporting,"Accompanyingladiesonlongseavoyages,rattersonboardship.",13,16,9,11,9,15,"Affectionate,Lively,Playful,Intelligent,Trainable,Vocal",https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg
50,Dalmatian,Non-Sporting,Carriagedog-trotalongsidecarriagestoprotecttheoccupantsfrombanditryorotherinterference,10,13,19,23,50,55,"Outgoing,Friendly,Energetic,Playful,Sensitive,Intelligent,Active",https://cdn2.thedogapi.com/images/SkJ3blcN7_1280.jpg
51,DogoArgentino,Working,Big-gamehunting,10,12,24,27,80,100,"Friendly,Affectionate,Cheerful,Loyal,Tolerant,Protective",https://cdn2.thedogapi.com/images/S1nhWx94Q_1280.jpg
52,EnglishShepherd,Working,"Herding&guardinglivestock,farmwatchdog",10,13,18,23,44,66,"Kind,Energetic,Independent,Adaptable,Intelligent,Bossy",https://cdn2.thedogapi.com/images/H1QyMe5EQ_1280.jpg
53,EnglishSpringerSpaniel,Sporting,"Birdflushing,retrieving",12,14,19,20,35,50,"Affectionate,Cheerful,Alert,Intelligent,Attentive,Active",https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg
54,Eurasier,Non-Sporting,Companionship,12,14,21,24,40,70,"Alert,Reserved,Intelligent,EvenTempered,Watchful,Calm",https://cdn2.thedogapi.com/images/S1VWGx9Nm_1280.jpg
